entry	displayedLabel
windowTitle	iScatter - Nuages de points interactifs
datafileInputLabel	Fichier de données
browseInputFileLabel	Sélection fichier
noFileSelectedPrompt	Aucun fichier
columnSeparatorSelectorLabel	Séparateur de colonnes
sheetSelectorLabel	Feuille
loadedFilePreviewDialogLabel	Prévisualisation du fichier de données
loadedFilePreviewErrorMessage	Impossible de lire le fichier. Essayez avec un autre encodage et/ou vérifiez que le format de votre fichier est bien compatible.
loadedFilePreviewWarningMessage	Erreur lors de la lecture du fichier. Vérifiez que l'affichage ci-dessous est conforme à votre fichier de données.
nLinesDisplayedInPreviewLabel	Nombre maximum de lignes affichées
fileEncodingLabel	Encodage du fichier
filePreviewCancelButtonLabel	Annuler
filePreviewValidateButtonLabel	Charger
generalInstructionsOnTabDisplay	Le contenu des onglets autres que "Choix des variables" et "Filtrage des données" n'est affiché que si les variables X et Y sont sélectionnées
variablesChoiceTabLabel	Choix des variables
generalDisplayParametersTabLabel	Paramètres du nuage de points
descriptiveStatisticsTabLabel	Statistiques descriptives
nonNumericColsIncludedInDependentVariableChoiceLabel	Inclure les colonnes non reconnues comme numériques dans le choix de la variable dépendante
dependentVariableInputLabel	Variable dépendante
noNumericVariableWarning	Aucune variable numérique !
emptyCellsLabel	(cellules vides)
scatterplotLimitsModeLabel	Valeurs limites
scatterplotLimitsModeChoiceAuto	Automatiques
scatterplotLimitsModeChoiceFixed	Fixées
scatterplotLowLimitXLabel	Minimum X
scatterplotHighLimitXLabel	Maximum X
scatterplotLowLimitYLabel	Minimum Y
scatterplotHighLimitYLabel	Maximum Y
reverseAxesLabel	Orientation inversée des axes
plotDownloadFormatLabel	Format de l'image
exportedPlotWidthLabel	Largeur
exportedPlotHeightLabel	Hauteur
exportedPlotUnitsLabel	Unité
scatterplotSubstringInExportedImageName	_nuage_points
nDecimalPlacesInputLabel	Nombre maximum de décimales affichées dans les statistiques descriptives
descriptiveStatisticsGeneralInfo	Statistiques descriptives
xVariableInDescriptiveStats	Variable X :
yVariableInDescriptiveStats	Variable Y :
nValuesPrompt	Nombre de valeurs : 
meanValuePrompt	Moyenne : 
sdValuePrompt	Écart-type : 
medianValuePrompt	Médiane : 
firstQuartileValuePrompt	1er quartile : 
thirdQuartileValuePrompt	3ème quartile : 
interquartileRangeValuePrompt	Écart interquartile : 
modeValuePrompt	Mode : 
minValuePrompt	Minimum : 
maxValuePrompt	Maximum : 
rangeValuePrompt	Etendue : 
dataFilteringTabLabel	Filtrage des données
dependentVariableInputLabelX	Variable X
dependentVariableInputLabelY	Variable Y
exchangeXYvariablesLabel	X <-> Y
groupColInIndepVar1Table	Modalité
countsColInIndepVar1Table	Effectif
includeColInIndepVar1Table	Inclure
groupColInIndepVar2Table	Modalité
countsColInIndepVar2Table	Effectif
includeColInIndepVar2Table	Inclure
independentVariable1ChoiceTabLabel	Var. indépendante 1 (couleur)
selectAllIndepVar1ButtonLabel	Tous groupes
unselectAllIndepVar1ButtonLabel	Aucun
revertSelectionIndepVar1ButtonLabel	Inverser sélection
independentVariable1InputLabel	Variable indépendante 1
independentVariable2ChoiceTabLabel	Var. indépendante 2 (forme)
selectAllIndepVar2ButtonLabel	Tous groupes
unselectAllIndepVar2ButtonLabel	Aucun
revertSelectionIndepVar2ButtonLabel	Inverser sélection
independentVariable2InputLabel	Variable indépendante 2
figureExportTabLabel	Export figure
figureDownloadButtonLabel	Télécharger la figure
figureTextSizeSliderInputLabel	Taille du texte
pointsSizeSliderInputLabel	Taille des points
regressionLinesSizeSliderInputLabel	Taille des droites de régression
toggleRegressionLinesDisplayLabel	Afficher les droites de régression
toggleEllipsesDisplayLabel	Afficher les ellipses de dispersion
ellipseLevelSliderInputLabel	Niveau de confiance des ellipses
ellipseAlphaSliderInputLabel	Transparence des ellipses
ellipseLinewidthSliderInputLabel	Épaisseur du trait des ellipses
fillEllipsesCheckboxLabel	Remplir les ellipses
correlationsTabLabel	Corrélations
correlationsTableNvaluesLabel	Nb. valeurs
correlationsTablePearsonCorrelationLabel	r (Pearson)
correlationsTableSpearmanCorrelationLabel	ρ (Spearman)
correlationsTablePooledModalitiesLabel	*TOUT*
correlationsTabDownloadButtonLabel	Télécharger le tableau
filteringDTdisplay_emptyTable	Pas de données à afficher
filteringDTdisplay_info	Affichage des lignes _START_ à _END_ sur _TOTAL_
filteringDTdisplay_infoFiltered	 (filtré à partir d'un total de _MAX_ lignes)
filteringDTdisplay_lengthMenu	Afficher _MENU_ lignes
filteringDTdisplay_zeroRecords	Aucune ligne correspondante trouvée
filteringDTdisplay_first	Premier
filteringDTdisplay_last	Dernier
filteringDTdisplay_next	Suivant
filteringDTdisplay_previous	Précédent
naStringsFileImportLabel	Valeurs indéfinies (un code par ligne)
identicalIndependentVariablesWarningMessage	Avertissement : variables indépendantes 1 et 2 identiques. Filtrage désactivé pour la variable indépendante 2.
exportedCorrelationsTableDefaultPrefix	correlations
displaySelectedDataDetailInTableFlagLabel	Affichage du détail des valeurs sélectionnées dans un tableau
selectedDataDownloadFormatLabel	Format de fichier
selectedDataDownloadInfo	Exporter le sous-ensemble sélectionné
defaultSuffixInExportedDataFileName	_donneesSelectionnees
